Text,Benigne,Cyber Terrorism,Cyber Bullying,Extremism
اللهم اجعلنا ممن تنظر اليهم بحب اشتياق اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك احفظنا قنا نار وقودها الناس الحجاره يا رب,1,0,0,0
اللهم اجعلنا ممن ياخذون بالاسباب,1,0,0,0
اللهم اجعلنا ممن يعطي الامانه حقه,1,0,0,0
اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون,1,0,0,0
اللهم اجعلنا من يتمتعون بروح و ريحان و جنه النعيم من الرحمن صباحكم قطرات من ندى الازهار,1,0,0,0
اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى,1,0,0,0
اللهم اجعلنى خيرا مما يظنون اغفر لي ما لا يعلمون,1,0,0,0
اللهم اجعلني مقيم الصلاه من ذريتي,1,0,0,0
اللهم اجعلني من يتشرف به الاسلام,1,0,0,0
اللهم احسن خواتيم اعمالنا اجعل كل اوقاتنا طاعه,1,0,0,0
اللهم احفظني بحفظك حسبي الله لا قوه الا بك,1,0,0,0
اللهم احينا وامتنا على الاسلام وعلى كلمه لا اله الا الله,1,0,0,0
اللهم اذقنا حبا رائعا حلالا طاهر,1,0,0,0
اللهم ارزق ابناء المسلمين زوجات صالحات وبنات المسلمين ازواج صالحين,1,0,0,0
اللهم ارزقنا الاخلاص في القول العمل في السر العلن في الرخاء الشده في العافيه المرض عند الابتلاء,1,0,0,0
اللهم ارزقنا السلامه العافيه في ديننا دنيانا,1,0,0,0
اللهم ارزقنا الصحبه الصالحه,1,0,0,0
اللهم ارزقنا الصدق الاخلاص,1,0,0,0
اللهم ارزقنا الصدق في طلب الاخلاص والاخلاص في طلب الصدق واجمع لنا بينهما بعفوك وقدرتك يا الله,1,0,0,0
اللهم ارزقنا العمل الصالح الذريه الصالحه ارزقنا يا الله حسن الخاتمه,1,0,0,0
اللهم ارزقنا ان نكون مثلهم,1,0,0,0
اللهم ارزقنا رزقا حلالا تغننا به عن حرامك,1,0,0,0
اللهم ارزقنا فعل الخيرات وترك المنكرات,1,0,0,0
اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي يهدينا اياكي,1,0,0,0
اللهم ارزقنا من خيري الدنيا الاخره ارزقنا حسن الخاتمه ارزقنا الفردوس الاعلى مع من نحب ارزقنا لذه النظر الى وجهك الكريم,1,0,0,0
اللهم ارزقنا واياك الجنه,1,0,0,0
اللهم ارزقني حبك حب من احبك حب عمل يقربني لحبك,1,0,0,0
اللهم ارزقني كما ترزق البغاث,1,0,0,0
اللهم ارضنا بما قسمته لنا,1,0,0,0
اللهم ارضنا و ارضى علينا,1,0,0,0
اللهم ارنا الحق حقا ارزقنا اتباعه ارنا الباطل باطلا ارزقنا اجتنابه,1,0,0,0
اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب,0,0,0,1
اللهم استخدمنا في طاعتك,1,0,0,0
اللهم استرنا وجميع بنات المسلمين,1,0,0,0
اللهم اسمعنا خير هذا اليوم و ما بعده و افتح لنا ابواب رزقك و رحمتك,1,0,0,0
اللهم اصلح حال المسلمين اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال,1,0,0,0
اللهم اصلح حالنا وشاننا كله واجمع لنا خير الامور,1,0,0,0
اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر لي زلاتي,1,0,0,0
اللهم اصلح نفوسنا لما يرضيك عنها,1,0,0,0
اللهم اعز المسلمين,1,0,0,0
اللهم اعصمنا عن معصيتك,1,0,0,0
اللهم اعنا ترك كل ما لا ترضي,1,0,0,0
اللهم اعنا على انفسنا اجعلنا نرى الدنيا صغيره الاخره كبير,1,0,0,0
اللهم اعنا على ذكرك وشكرك وحسن عبادتك,1,0,0,0
اللهم اعنى على ترك المعاصى حبا فى نور وجهك,1,0,0,0
اللهم اعني على ذكرك شكرك حسن عبادتك,1,0,0,0
اللهم اغفر لنا انا كنا ظالمين ادخلنا الجنه سالمين,1,0,0,0
اللهم اغفر له وسع لك رحمتك له اصلح له ذريته,1,0,0,0
اللهم اغفر لى لامه المسلمين اجمعين,1,0,0,0
اللهم اغفر لي ما لا يعلمون اجعلني خيرا مما يظنون,1,0,0,0
اللهم اغننا بحلالك عن حرامك اغننا بفضلك عمن سواك,1,0,0,0
اللهم اكثر من امثالك يا دكتور عمروالله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس,1,0,0,0
اللهم اكرمنا برضاك,1,0,0,0
اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب,1,0,0,0
اللهم القلوب الضاله,1,0,0,0
اللهم امليء قلبي بحبك,1,0,0,0
اللهم ان كان رزقي بعيدا فقربه لي ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه,1,0,0,0
اللهم ان كان لي عوض على صبري,1,0,0,0
اللهم انا نسالك رزقا حلال طيبا مباركا يعيننا علي طاعتك,1,0,0,0
اللهم انا نشكو اليك ضعف قوتنا قله حيلتنا حسبنا الله نعم الوكيل,1,0,0,0
اللهم انا نعوذ بك من الرياء النفاق,1,0,0,0
اللهم انا نعوذ بك من غضبك نساللك رضاك,1,0,0,0
اللهم انر قلوب المسلمين ايقظهم من غفلتهم,1,0,0,0
اللهم انزع من قلبى حب كل شىء لا تحبه,1,0,0,0
اللهم انزع من قلوبنا مالا يرضيك,1,0,0,0
اللهم انس قلوبنا بذكرك,1,0,0,0
اللهم انصر الاسلام واعز المسلمين,1,0,0,0
اللهم انك عفو تحب العفو فاعف عنا,1,0,0,0
اللهم انى اقسمت عليك بك ان تهدى شباب المسلمين وتنور قلوبهم كما انعمت على طارق بنعمه الاسلام,1,0,0,0
اللهم اني اسالك اخلاص النيه كرم الطويه,1,0,0,0
اللهم اني اسالك خشيه في السر والعلن,1,0,0,0
اللهم اني اسالك صبرا,1,0,0,0
اللهم اني اسالك فعل الخيرات و ترك المنكرات و حب المساكين و ان تغفر لي و ترحمني و تتوب علي,1,0,0,0
اللهم اني استغفرك من كل الذنوب والمعاصي واتوب اليك,1,0,0,0
اللهم اني اعود بك من الذنوب التي تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك,1,0,0,0
اللهم اهدنا الى صراطتك المستقيم,1,0,0,0
اللهم اهدنا ثم ثبتنا,1,0,0,0
اللهم اهدنا صراطك المستقيم,1,0,0,0
اللهم اهدنا فيمن هديت وعافنا فيمن عافيت,1,0,0,0
اللهم اهدنا لكل عمل يقربنا اللى حبك,1,0,0,0
اللهم اهدنى الى ما تحب ترضى,1,0,0,0
اللهم باركي فيه واهدي كل مسلم لطريق النور,1,0,0,0
اللهم تب علينا انك التواب الرحيم,1,0,0,0
اللهم ثبت قلوبنا على الايمان,1,0,0,0
اللهم ثبتنا بالقول الثابت في الحياه الدنيا وفي الاخره,1,0,0,0
اللهم ثبتنا على قيام الليل في رمضان,1,0,0,0
اللهم ثبتنا وثبته على دينك الحنيف وسنه نبيك,1,0,0,0
اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك,1,0,0,0
اللهم حسننا حسن اعمالنا ظاهرا باطنا لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين,1,0,0,0
اللهم رزقنا مكارم الاخلاق,1,0,0,0
اللهم زيد المسلمين وبارك فيهم,1,0,0,0
اللهم زينا بالخلق الحسن ارزقنا الامانه نظافه القلب اللسان امين,1,0,0,0
اللهم عفوك رضاك الجنه,1,0,0,0
اللهم قني شر نفسي,1,0,0,0
اللهم قني عذاب النار ادخلني جناتك,1,0,0,0
اللهم قوِّ ايماننا لنكون اصحاب عزيمه قرار,1,0,0,0
اللهم قونا على نفوسنا الضعيفه,1,0,0,0
اللهم كما حسنت خَلقنا حَسن اَخلاقِنا,1,0,0,0
اللهم كن مع اخواننا في سوريا,1,0,0,0
اللهم لا اعتراض على حكمك ارزقنا انت خير الرازقين,1,0,0,0
اللهم لا تجعل لحب الدنيا سلطانا على قلبي بل اجعل حبك في قلبي سلطانا,1,0,0,0
اللهم لا تجعلنا من المنافقين,1,0,0,0
اللهم لا تحرم احد من هذه النعمه,1,0,0,0
اللهم لا تدع لى ذنبا الا غفرته اللهم اصلح لى دينى,1,0,0,0
اللهم لا تكلنا الى انفسنا طرفه عين,1,0,0,0
اللهم لا شماته ليش ياربي يحرجوا انفسهم,0,0,0,0
اللهم لم شمل جميع المسلمين,1,0,0,0
اللهم ما اصبح بي من نعمه او باحد من خلقك فمنك وحدك لا شريك فلك الحمد لك الشكر,1,0,0,0
اللهم ما اعنا على التغير,1,0,0,0
اللهم معنا علي طاعتك ورضاك وقوي عذامئنا,1,0,0,0
اللهم نسالك السلامه من مثل هذه الخيبه,1,0,0,0
اللهم نقي نفوسنا اجعلنا لك من المخلصين سرا جهرا,1,0,0,0
"اللهم هون برد الشتاء على عبادك المستضعفين في كل مكان ،اللهم انـزل دفئك ورحمتـك على كل فقيـر لا ماوى له",0,0,0,0
اللهم وفقنا لما تحب ترضى يا رب,1,0,0,0
اللهم يا مجيب من دعاك اعنا على تقواك بتقواك وارزقنا حسن طاعتك وتمام رضاك  واغفرلنا ولوالدينا ولكل من له حق علينا,1,0,0,0
اللهم يا محول الاحوال حول حالى ان احسن حال,1,0,0,0
اللي غنى عدوله محاوله استخفاف دم من البرنامج,0,0,0,1
اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه الخاصه لمده اسبوع شوف بعدها,0,0,0,1
اللي لفت انتباهي الدبه اللي جنبها,0,0,1,0
الماء اساس الحياه,1,0,0,0
المال الاسود جريمه بحق الوطن والمستقبل,1,0,0,0
المراه تهان وتعامل كاداه جنسيه تحت مسميات عديده كالمسيار والمسفار والمصياف الخ وكلو بتمنو,1,0,0,0
المراه كلها عوره حتى صوتها عوره,0,0,1,0
المسلسلات خربت بيوت العالم,1,0,0,0
المسلم الفطن النقي يتصرف بما يرضي الله في السر العلن نسال الله عز وجل ان نتبع كل ما يرضيه عنا,1,0,0,0
المشاركين بينو للناس انه اللى قايمين على البرنامج حمير,0,0,1,0
المشكله في ناس تقنع حالها انه جورج وسوف له علاقه بالاغاني,0,0,1,0
المشكله ناس بتسمع حالها بالحمام هيه وبتغني,0,0,1,0
المعنى الحقيقي لعاهاتك يا وطن,0,0,0.5,0.5
المغرب بريء منك على الاقل اذا كنت لهجتنا صعبه فتكلم باللغه العربيه,0,0,0,1
الملح احسن علاج لالتهاب الحلق ومفعوله اسرع من الادويه,1,0,0,0
المنتخب الايطالي عقيم هجوميا بعد ماكان منتخب يخشى هجومه كل المنتخبات,1,0,0,0
المهم الدعاء في السجود حتى تغسل عينيك الدموع,1,0,0,0
المهم هو الصادق معي الناصح لي,1,0,0,0
المواساه والمحبه بكل الامور رمز الاخوه,1,0,0,0
الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه ا?هم من هيك انه المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟؟؟,0,0,0,1
المومين الى بعضهم كالبناء الزى يشد بعضه البعض,1,0,0,0
النظافه من الايمان,1,0,0,0
النقاش العقلاني ينتهي يانك تقنع الشخص يا انك تقتنع اذا ما انتهى النقاش كذا واللي قدامك مصدي الحل الثالث تتفل بوجهه و بكذا يكون انتهى النقاش,0,0,0.4,0.6
النيه دايما بتكون موجوده وربنا المعين,1,0,0,0
الواحد عايش وسط قرف,0,0,0,1
الوحيد الذي لايتركني ولو لحظه,1,0,0,0
الوفاء اصبح شئ نادر يكاد يكون معدوم,1,0,0,0
الوفاء في غير قلبك ما لقيت,1,0,0,0
الى ابن بشار الاسد كس اخت ابوك,0,1,0,0
الى اعتصام مفتوح ميدان تحرير للتخلص من قوى الفساد الافساد,0,1,0,0
الى جهنم وبئس المصير,0,0,0,1
الى يقارن بينه وبين مرسى يبقى متخلف,0,0,0,1
الي استحو ماتو,0,0,0,1
الي انا شايفو انو المفاعل راح ينعمل في الاردن راح يخدم دول تانيه يعني مش عشان سواد عيونا,0,1,0,0
"اليك يا ربي قلبا لم يستعن بسواك، ياوي اليك لترضى ويهتدي بهداك",1,0,0,0
اﻻسلام ليس فيه رهبانيه انما هو دين علم وعمل وبحث وتطوير... وعندما طبقنا هذا المبدا سدنا العالم,1,0,0,0
اما الغبي اللي يقلد جورج وسوف,0,0,0,1
اما في الدين فتصير اخوه في الله وهي ارقى العلاقات الانسانيه بصحيح الحديث رب اخ لم تلده امك,1,0,0,0
اما وهابيتك فحدث ولا حرج الناس يقادون الى المساجد غصبا ويجلدون كالابقار ان هم ابوا,0,1,0,0
امشي عدل يحتار عدوك فيك,1,0,0,0
املا رئتيك بعبق السماء مع ولاده صباح جديد تهتز له الحياه تحتفل ايقظ عقلك بالنور ابعث همتك حيه متوثبه لتطوي نهارك في فرح,1,0,0,0
اموت بصوتها,1,0,0,0
اموت فيج رويده,1,0,0,0
اميره ممكن اضافه لو سمحتي,1,0,0,0
امين يا رب انت شاب زي الفل ما شاء الله عليك,1,0,0,0
ان  المعلم الذي يسعى للتطوير والاستزاده هو الاقدر على غرس الالتزام والطموح في طلابه,1,0,0,0
ان الجميل اذا اخفيته ظهرا,1,0,0,0
ان الدين عند الله الاسلام هذا هو الدين الذي يجب ان يعتنقه كل انسان علي وجه الارض وليس العرب فقط اللهم اهدي غير المسلمين الي دين الاسلام,1,0,0,0
ان الله على كل شيء قدير,1,0,0,0
ان الله لا يتخل عن عباده ابدا,1,0,0,0
ان الله لا يضيع اجر المحسنين,1,0,0,0
ان الله هو الرزاق دو القوه المتين,1,0,0,0
ان النجاح يحتاج الي قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر,1,0,0,0
ان شاء الله ربنا يعينا على فعل الطاعات,1,0,0,0
ان شاء الله هنكمل مشوار النجاح,1,0,0,0
ان شاء الله وربنا يعيننا,1,0,0,0
ان شاء الله يتقبل الله صلاتنا يزيد في صلاتنا الخشوع,1,0,0,0
ان من صفات الاسلام الامانه,1,0,0,0
انا ابو عدوله هذا لو قدامي صدق اني راح العن ابو من جابه,0,0,0,1
انا احب هذا الكاتب,1,0,0,0
انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,1,0,0,0
انا اردني بقول الشعب بيستاهل غلا اكثر من هيك,0,0,0,1
انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز,0,0,0,1
انا اقدر الاخلاص الوفاء بشكل كبير,1,0,0,0
انا الوحيده الي احس طعم الببسي كنه حديد مصدي,1,0,0,0
انا انجنيت,1,0,0,0
انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,1,0,0,0
انا بحب كل الناس بتمنالهم الخير,1,0,0,0
انا بدات اتحرك شاركت بفكره ستغير الكثير من واقعن,1,0,0,0
انا بكرهك,0,0,1,0
"انا توجيهي سعودي و بدرس بجامعه من احسن جامعات الاردن ، و الشعب قاعد يعيد توجيهي و يرسب من ورى الوزير ",0,0,0,1
انا حاسه انه قلبى مليان وعامر بنور الله,1,0,0,0
انا خلينى ساكته احسن,1,0,0,0
انا دايما فرحان مش سائل بالدنيا الحمد لله,1,0,0,0
انا دمرت انا دمرت مستقبلي ضاع وما معي اكل خبز شو هالحياه شو هالقرف مش حياه الحياه كلها ظلم ما في شغل الاردن,0,0,0,1
انا شوفت وقاحه بس زاي وقاحه الاخوان ما شوفت,0,1,0,0
انا ضد النووي كالاردن البحث عن مصادر للطاقه النظيفه خصوصا اننا نفتقر للماء و الاجدى بنا ايضا ان نبحث عن سبل لحل مشكله المياه بالمبالغ التي ستصرف على المفاعلات النوويه,1,0,0,0
انا عرف شيء والله ببكي اكتر ما بضحك,1,0,0,0
انا علي ثقه اني استطيع فعل اي شئ لاني انا من صنع الله,1,0,0,0
انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله,1,0,0,0
انا فعلا قررت واخدت القرار ده وحاسه براحه وسعاده كبيره اوي بقربي من ربنا بجد الحمد لله,1,0,0,0
انا فعلا مؤمن بالفكره دي جدا وبحاول انفذها,1,0,0,0
انا كل يوم اقول غدا سوف اصلي لكن لا اقدر انا ادعوا الله دائما ان يهديني ارجو من من يملك حل مراسلتي,1,0,0,0
انا لا احلم ان اغير العالم ولكن احلم بان استطيع ان ارسم البسمه علي وجوه الاخرين,1,0,0,0
انا لاحظت اللبنانيين انهم ماعندهم روح الكوميديا نهائيا,0,0,0,1
انا لله انا اليه راجعون الله يستر هالبلد,1,0,0,0
انا لو مكان راغب اروح انتحرر,0,0,0.4,0.6
انا مِا اغيب الا اذا كرهّت اني ابقى راجع افعالك قبل كُل حاجه,1,0,0,0
انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه,0,0,0,1
انا متشائم رح اضل متشائم حتى ينزلوا البنزين,0,0,0,1
انا مش مسؤول عن الحراميه يتفنجرو بمصاري البلد انا اشحد,0,1,0,0
انا مع الاخ محمد سلامه بهالموضوع,1,0,0,0
انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,1,0,0,0
انبسط يا عم افرح,1,0,0,0
انت ما تستحي تقارن القران بوحده ساقطه انعل ابوك لا ابو الملحد,0,0.3,0,0.7
انت ما شفت النسخه الاوروبيه والامريكيه والماليزيه من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقده النقص والتخلف,0,0,0.1,0.9
انت مو انت انت جوعان كل شوكولاته افرح,1,0,0,0
انت واحد حقير,0,0,0.9,0.1
انت واحد عنجد قليل ادب الله يموت الي امثالك,0,0,0,1
انت واحد ما بتستا هل الجزمه,0,0,1,0
انت يا دكتور خير اخ ربنا يزور عليك,1,0,0,0
انتخب مين يا عم هى ناقصه لبخه فى الكلام معتش الا الاهبل ده كمان يبقى رئيس جمهوريه,0,1,0,0
انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه,0,1,0,0
انته جميل جدا ربنا يثبتك واتمني ان كل المسلمين تكون اخلاقياتهم في حياتهم العاديه قدوه ودعوه لكل غير المسلمين,1,0,0,0
انته والمعك كلهم سافلين ووقحين,0,0,0,1
انتو كلاب ازى تسو المصحف بى كلابه زى ده,0,0,0,1
انتي عنجد بنت فاشله,0,0,1,0
اندهش لما عرف الحقيقه,1,0,0,0
انسان غريب,0,0,1,0
انشاء الله نكون راضين بقضاء الله لكننا نرجو من الله اللطف فيه,1,0,0,0
انشاء الله هنعمل حاجه تفتخرو فيها,1,0,0,0
انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالميه ثالثه وما رح اتخلص غير لما نتخزق,0,0,0,1
انما المؤمنون اخوه فاصلحو ذات البين,1,0,0,0
انما بعثت لاتم مكارم الاخلاق,1,0,0,0
اننا نعيش في زمن بلا رحمه,1,0,0,0
انني كومه من القلق والرجفه اكثر من كوني انسان,1,0,0,0
انه دين يسر وليس بدين عسر,1,0,0,0
انه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم ارزق بنات المسلمين زوجا طيبا محبا مثله,1,0,0,0
اني احبك في الله,1,0,0,0
اه لو لا القران لقلت ان انكر الاصوات لهذه الاصوات,0,0,1,0
اه يا ابو القمل,0,0,1,0
اه ياشويه عاهات,0,0,1,0
اهل العقول براحه ام نسيانك يابو نسيان صعب والله صعب,0,0,1,0
اهلا بك في دين الحق والسلام,1,0,0,0
اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير,1,0,0,0
اهلا وسهلا بشخصك الكريم,1,0,0,0
اهلا وسهلا بك بيننا يا طارق,1,0,0,0
اهم اشي اكون مبسوط,1,0,0,0
اهم شي الواسطه والمظهر الخارجي,0,0,0,1
اهما ودهم يروحون النار لكن النار مارضت فيهم,0,0,1,0
اوسخ شي المناديل,0,0,1,0
اوغاد باعو البلد,0,1,0,0
اوقف القرار للحفاظ على الوطن,1,0,0,0
اول واحد ذكرنى بصاحب اسمه قرده,0,0,1,0
اي الله صحيح اهم شي الانسان كرامته,1,0,0,0
اي تفائل هاد يا زلمه روح تشائم احسلك,0,0,0,1
اي تقدم اي ازدهار مفاعل النوويه بعمل الامراض كثير اهم السرطان الله يبعده عنها انا معهم رفض المفاعل النوويه,1,0,0,0
اي والله سوبر,1,0,0,0
ايس شراع القرف,0,0,1,0
اين ذهبوا العلماء والمخترعين والمفكرين جرب في جرب,0,0,0,1
ايه الاحساس الراقى ,1,0,0,0
ايه الهبل دا,0,0,1,0
ايه راحه فيها المسكين ياحرام,1,0,0,0
ايها الصغار المتناكفون انكم مع كل منشور ضد بعضكم البعض تصغرون اكثر مما انتم صغار فلا يسلك هذا الطريق الا صغير ساذج يحب ان يعيش على القذارات,0,0,1,0
ايوه هيك بدنا ياكم يا شباب بترفعو الراس,1,0,0,0
باذن الله بديت ولو مؤخرا بنفسى الحمد لله,1,0,0,0
بارد ومصقع,0,0,1,0
بارك الله في دين الاسلم,1,0,0,0
بارك الله في كاتبها,1,0,0,0
بارك الله فيك انا نضال فدعولي بزوجه صالحه,1,0,0,0
بارك الله فيك نتمنى المزيد من النصائح,1,0,0,0
بارك الله لكما وبارك عليكما وجمع بينكما على خير,1,0,0,0
بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه,1,0,0,0
بالله عليك فين الاناقه في الناس اللي بتغني دي,0,0,1,0
باللـــه عليكم الم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناه اخرى,0,0,1,0
بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم,0,0,1,0
"بالمناسبه انا مؤدب جدا ، لا احتسى الكحول ولا ابحث عن علاقات مشبوه",1,0,0,0
بتخافى حد ياخد مكانك مع انك مالكيش مكان اصلا ,0,0,1,0
بتقول كلام زي الفل,1,0,0,0
بتمنى لو ان تقوم بعثه للدعاه من مصر تزور جميع البلاد تعرفهم تشرح ما هو الدين الاسلامي تنشر بحق فى كل مكان,1,0,0,0
بجد ربنا يبارك فى كلماتك بتوصل والله,1,0,0,0
بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن,1,0,0,0
بدعى على طول بان الله يرزقنى الخشوع,1,0,0,0
بدك الصراحه بدون زعل جهنم الزبانيه من الملائكه تنتظرك تموت لتشرب من فروج المومسات صديد اهل النار ان شاء الله يا اوباش سوريا,0,1,0,0
بدكو تخلونا نشحد,0,1,0,0
بدي اروح عمره الله ييسر,1,0,0,0
برامج سخيفه تهدف لهدم الامه,0,0,1,0
برك الله فيك وجعلها في مزان حسناتيك,1,0,0,0
برلمان المانيا يقر باغلبيه كبيره التخلي عن الطاقه النوويه حتى 2022 الاردن يطرح عطاءلانشاء محطه طاقه نوويه الله لا يطعمنا الحج والناس مروحه,0,0,0,1
برنامج ساقط,0,0,1,0
برنامج فاشل جدا,0,0,1,0
برنامج قديم,0,0,1,0
برنامج معوق ومشاركين معوقين:,0,0,1,0
بس اكيد وراها مصلحه,0,0,0,1
بس الحكام ماعندهم ذوق للاسف,0,0,1,0
بس الله لا يسامحكم تلقوها بصحتكم ان شاء الله,0,0,0,1
بس اللي قاهرني اللي ما ينطقون حرف الراء التغ من جدهم جايين يبون يغنون,0,0,1,0
بس مقزز,0,0,1,0
بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,0,1,0,0
بسمه امل حلوه,1,0,0,0
بصفحات الفيزا على جواز السفر حاطين صور اثار الاردن عاساس هيك بس اشوفهم رح احن و ابطل اسافر,0,0,0,1
بصمات راقيه لاديب الدعوه محمد الغزالي,1,0,0,0
بطلت كتير وكل ما اترك والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول,1,0,0,0
بطني وجعتني من الضحك,0,0,1,0
بعد عقود مرض الكلب واستبشرنا نحن الشعب اخيرا مات الكلب واصبح ابن الكلب رئيسا بالاجماع ,0,1,0,0
بعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,1,0,0,0
بعدك ما شفت اشي,1,0,0,0
بعدين الاردن تسبح على بحر من النفط الصخر الزيتي اشتغلو فيه بالاول بيكفينا 100 سنه,0,0,0,1
بعدين حتى الدول الي اعلنت انهاء المفاعلات النوويه زي اليابان تراجعت عن قراره,1,0,0,0
بعرف بس مو حلو,0,0,1,0
بعرف حكايات مليانه عاهات مثلكم مجانين يا صيدات جورج وسوف,0,0,1,0
بعض الاصدقاء يشبهون المطر في قدرتهم على تعديل المزاج هؤلاء من احتاجهم بقربي,1,0,0,0
بعن الله ابوك انت وعدوله يالسامج,0,0,0,1
بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون,0,0,0,1
بقرف زيك,0,0,1,0
بقطعكم شو حقودين,0,0,1,0
بكتب اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه,1,0,0,0
بكره واحد منهم بينتحر لم يضحكو عليه,0,0,1,0
بلا هم بلا وجع راس خليك رايق دايما,1,0,0,0
بلد يديرها اغبياء حراميه,0,1,0,0
بنحاول فى كل مره نكون افضل,1,0,0,0
بنص المقطع سقاله موطبيعيه,0,0,1,0
بني البرنامج النووي الاردني على عده تصورات خاطئه بشكل خطير تتعلق بالتكنولوجيا,1,0,0,0
بوركت جهودك و سلمت اناملك,1,0,0,0
بياعين شرف,0,0,0,1
بيجيبو الشيوخ ليسهز فيهم,0,0,0,1
بيه الزناخه,0,0,1,0
تابعت هذا الجوال من بدايه صدوره وقبل اقترابه للعالم العربي فعلا يستحق كل هذه الاهميه,1,0,0,0
تاثير الغرب مبين على العرب المجانين,0,0,0,1
تافهين جدا,0,0,1,0
تايم لاين اردني واعي ومثقف لفت انتباه زين الاردن لتغيير محتوى تغريدتها  شكرا لاحترامكم الراي العام في الاردن,1,0,0,0
تبا لكم,0,0,0,1
تبارك الرحمن اللهم زد فينا وبارك لنا يارحم الرحمين,1,0,0,0
تبتنا ياربن علي دكرك وشكرك حسن الخشوع في صلاتك,1,0,0,0
تبون تقنعونا انكم تخافون على صحه المدخن وعلشان كذا رفعتوا السعر..بيشترونه ولو ب100 دينار  وبيدخنون ولو بعظم وورق شجر,0,0,0,1
تحطم ماتبقى من اطيافي,1,0,0,0
تحيه لاهل فلسطين الغاليه,1,0,0,0
تحيه محبه وسلام ,1,0,0,0
تخسا هما وكل واحد بشد على يدهم مشكلتو شعب سوري يدعون البراء وهم في قمه النذاله,0,1,0,0
تدرون يا جماعه الخير انها بتتعدب والله,1,0,0,0
تذكر من كذب يكتب عندا الله كاذب لا اله الا الله اما من يتحرى الصدق يكتب عندا الله صادقا,1,0,0,0
ترتيب ونظام منقطع النظير في احدى مدارس الاناث بقطاع غزه,1,0,0,0
تركنا كل شئ من اجل رضا الله اللهم ارضى عنا,1,0,0,0
ترى هاي فاهمه موضوع الوطنيه غلط ترى مش لحالك اردنيه والله اعلم اذا انك اردنيه اصلا شغل سوالف حصيده,0,0,0,1
تسلم انت وافكارك,1,0,0,0
تسلم صرمايتك,0,0,1,0
تضحك كانها مفجوعه من شيئ,1,0,0,0
تضرب منك لعدوله,0,0,1,0
تعليم الاطفال على الاغاني وعلى الرقص بدل من تعليم القران الكريم بدل من تعليم الدين الله لا يوفقكم,0,0,0,1
تغني وهي متقرفه,0,0,1,0
تفائلوا بالخير تجدوه اعملوا الصالحات,1,0,0,0
تفه عليك وع شكلك اول ما نشهرت طلقت زوجها خنزيره,0,0,1,0
